client_ip,server_ip,client_port,server_port,proto,packets_total,packets_c2s,packets_s2c,bytes_cap_total,bytes_cap_c2s,bytes_cap_s2c,bytes_wire_total,bytes_wire_c2s,bytes_wire_s2c,first_ts_ns,last_ts_ns,duration_ns,tcp_syn_total,tcp_syn_c2s,tcp_synack_s2c,tcp_ack_total,tcp_fin_total,tcp_rst_total,tcp_psh_total,tls_client_hello_c2s,ja4_legacy_version,ja4_cipher_suites_count,ja4_extensions_count,ja4_has_sni,ja4_alpn,ja4_cipher_suites,ja4_extensions,avg_wirelen_total,anomaly_score,is_anomaly
10.3.14.101,104.17.123.55,49762,443,6,29056,9992,19064,27427140,670283,26756857,27427140,670283,26756857,1710448890721889000,1710448921106292000,30384403000,2,1,1,29055,1,0,3241,1,0303,20,12,1,h2;http/1.1,1302;1301;c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f,0000;0005;002b;000d;0023;000a;0010;0033;0031;0017;ff01;002d,943.941,0.9703005,1
10.3.14.101,101.99.94.234,49765,8789,6,2,2,0,120,120,0,120,120,0,1710448905858595000,1710448905858694000,99000,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,60.0,0.0026246407,0
10.3.14.101,104.17.123.55,49782,443,6,1,1,0,60,60,0,60,60,0,1710448949990457000,1710448949990457000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0
101.99.94.234,10.3.14.101,8789,49765,6,1,1,0,60,60,0,60,60,0,1710448906025014000,1710448906025014000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0
101.99.94.234,10.3.14.101,8789,49766,6,1,1,0,60,60,0,60,60,0,1710448906535196000,1710448906535196000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0
10.3.14.101,101.99.94.234,49767,8789,6,2,2,0,120,120,0,120,120,0,1710448906894288000,1710448906894288000,0,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,60.0,0.036548987,0
10.3.14.101,104.21.44.66,49780,443,6,16,8,8,7212,955,6257,7212,955,6257,1710448918978733000,1710449019702656000,100723923000,2,1,1,15,1,0,4,1,0303,20,10,1,-,1302;1301;c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f,0000;002b;000d;0023;000a;0033;0031;0017;ff01;002d,450.75,0.9976841,1
10.3.14.101,101.99.94.234,49763,8789,6,7,4,3,871,385,486,871,385,486,1710448894571039000,1710448905353378000,10782339000,2,1,1,6,1,0,2,0,-,0,0,0,-,-,-,124.429,0.07152733,0
10.3.14.101,91.92.252.234,49777,3232,6,8,5,3,807,478,329,807,478,329,1710448914580743000,1710448921847580000,7266837000,2,1,1,7,0,1,3,1,0301,6,5,0,-,c00a;c009;c014;c013;0035;002f,000a;000b;0023;0017;ff01,100.875,0.9956469,1
10.3.14.101,20.42.65.92,49781,443,6,23,13,10,14914,8829,6085,14914,8829,6085,1710448921057046000,1710448921757835000,700789000,2,1,1,22,1,0,8,1,0303,18,8,1,-,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f,0000;0005;000a;000b;000d;0023;0017;ff01,648.435,0.9959778,1
