client_ip,server_ip,client_port,server_port,proto,packets_total,packets_c2s,packets_s2c,bytes_cap_total,bytes_cap_c2s,bytes_cap_s2c,bytes_wire_total,bytes_wire_c2s,bytes_wire_s2c,first_ts_ns,last_ts_ns,duration_ns,tcp_syn_total,tcp_syn_c2s,tcp_synack_s2c,tcp_ack_total,tcp_fin_total,tcp_rst_total,tcp_psh_total,tls_client_hello_c2s,ja4_legacy_version,ja4_cipher_suites_count,ja4_extensions_count,ja4_has_sni,ja4_alpn,ja4_cipher_suites,ja4_extensions,avg_wirelen_total,anomaly_score,is_anomaly,ja4_present,duration_s,bytes_per_packet,bytes_per_s,c2s_to_s2c_ratio,s2c_to_c2s_ratio,is_tls,is_tls_nonstandard_port,timeline_bucket_id,timeline_bucket_s
10.10.20.147,10.10.20.20,64300,53,17,2,1,1,168,76,92,168,76,92,1695929902635530000,1695929903129277000,493747000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,84.0,0.0001296113,0,1,0.493747,84.0,340.2552319305231,0.8260869565217391,1.2105263157894737,1,1,28265498,1695929880
10.10.20.147,10.10.20.1,137,137,17,6,6,0,660,660,0,660,660,0,1695929869541271000,1695929932633399000,63092128000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,110.0,0.0010728003,0,1,63.092128,110.0,10.460892997617705,660.0,0.0,1,1,28265497,1695929820
10.10.20.147,10.10.20.1,137,137,17,3,3,0,330,330,0,330,330,0,1695929749532928000,1695929752593145000,3060217000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,110.0,0.00096815673,0,1,3.060217,110.0,107.83549009759764,330.0,0.0,1,1,28265495,1695929700
10.10.20.147,157.245.106.203,51084,443,6,3,3,0,193,193,0,193,193,0,1695929664576325000,1695929664576520000,195000,0,0,0,3,1,0,1,0,-,0,0,0,-,-,-,64.333,0.00091663725,0,1,0.000195,64.33333333333333,989743.5897435897,193.0,0.0,1,0,28265494,1695929640
10.10.20.147,172.86.75.88,50795,443,6,8,4,4,500,250,250,500,250,250,1695929655318071000,1695929715673921000,60355850000,0,0,0,8,0,0,4,0,-,0,0,0,-,-,-,62.5,0.029189369,0,1,60.35585,62.5,8.284201117207363,1.0,1.0,1,0,28265494,1695929640
10.10.20.147,157.245.106.203,51084,443,6,14,6,8,3018,836,2182,3018,836,2182,1695929597157543000,1695929664575733000,67418190000,2,1,1,13,1,0,7,1,0303,19,8,1,-,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0017;ff01,215.571,0.9967347,1,1,67.41819,215.57142857142858,44.765366735594654,0.383134738771769,2.610047846889952,1,0,28265493,1695929580
10.10.20.147,172.86.75.88,50795,443,6,8,4,4,500,250,250,500,250,250,1695929534994486000,1695929595366186000,60371700000,0,0,0,8,0,0,4,0,-,0,0,0,-,-,-,62.5,0.029189369,0,1,60.3717,62.5,8.282026181141164,1.0,1.0,1,0,28265492,1695929520
10.10.20.147,10.10.20.1,137,137,17,4,4,0,440,440,0,440,440,0,1695929512652089000,1695929632568378000,119916289000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,110.0,0.001116278,0,1,119.916289,110.0,3.6692262883485327,440.0,0.0,1,1,28265491,1695929460
10.10.20.147,10.10.20.20,57996,53,17,2,1,1,232,78,154,232,78,154,1695929425502894000,1695929425503313000,419000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,116.0,0.000595686,0,1,0.000419,116.0,553699.2840095465,0.5064935064935064,1.9743589743589745,1,1,28265490,1695929400
10.10.20.147,172.86.75.88,50795,443,6,8,4,4,500,250,250,500,250,250,1695929414655234000,1695929475029405000,60374171000,0,0,0,8,0,0,4,0,-,0,0,0,-,-,-,62.5,0.029189369,0,1,60.374171,62.5,8.28168721356025,1.0,1.0,1,0,28265490,1695929400
10.10.20.147,10.10.20.1,137,137,17,4,4,0,440,440,0,440,440,0,1695929391093780000,1695929511074609000,119980829000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,110.0,0.001116278,0,1,119.980829,110.0,3.667252540820501,440.0,0.0,1,1,28265489,1695929340
157.245.106.203,10.10.20.147,443,51083,6,2,2,0,108,108,0,108,108,0,1695929362109850000,1695929362109875000,25000,0,0,0,2,0,0,0,0,-,0,0,0,-,-,-,54.0,0.011105437,0,1,2.5e-05,54.0,4320000.0,108.0,0.0,1,1,28265489,1695929340
10.10.20.147,172.86.75.88,50795,443,6,8,4,4,500,250,250,500,250,250,1695929294301832000,1695929354706460000,60404628000,0,0,0,8,0,0,4,0,-,0,0,0,-,-,-,62.5,0.029189369,0,1,60.404628,62.5,8.277511451605992,1.0,1.0,1,0,28265488,1695929280
10.10.20.147,10.10.20.1,137,137,17,3,3,0,330,330,0,330,330,0,1695929271067694000,1695929389547876000,118480182000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,110.0,0.00096815673,0,1,118.480182,110.0,2.785275937540339,330.0,0.0,1,1,28265487,1695929220
10.10.20.147,172.86.75.88,50795,443,6,8,4,4,500,250,250,500,250,250,1695929174110770000,1695929234483203000,60372433000,0,0,0,8,0,0,4,0,-,0,0,0,-,-,-,62.5,0.029189369,0,1,60.372433,62.5,8.281925626552106,1.0,1.0,1,0,28265486,1695929160
10.10.20.147,72.21.81.240,51081,80,6,1,1,0,54,54,0,54,54,0,1695929155202466000,1695929155202466000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,54.0,0.059042837,0,1,0.0,54.0,0.0,54.0,0.0,1,1,28265485,1695929100
72.21.81.240,10.10.20.147,80,51081,6,2,2,0,108,108,0,108,108,0,1695929154892693000,1695929155202119000,309426000,0,0,0,2,1,0,1,0,-,0,0,0,-,-,-,54.0,0.0016506251,0,1,0.309426,54.0,349.033371468461,108.0,0.0,1,1,28265485,1695929100
10.10.20.147,10.10.20.1,137,137,17,4,4,0,440,440,0,440,440,0,1695929149673394000,1695929269552191000,119878797000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,110.0,0.001116278,0,1,119.878797,110.0,3.6703738360003726,440.0,0.0,1,1,28265485,1695929100
13.71.55.58,10.10.20.147,443,51082,6,2,2,0,108,108,0,108,108,0,1695929143841318000,1695929144130127000,288809000,0,0,0,2,1,0,1,0,-,0,0,0,-,-,-,54.0,0.0016506251,0,1,0.288809,54.0,373.94956528363036,108.0,0.0,1,1,28265485,1695929100
10.10.20.147,10.10.20.20,64044,53,17,2,1,1,317,91,226,317,91,226,1695929141641241000,1695929142242898000,601657000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,158.5,0.00015862397,0,1,0.601657,158.5,526.8782711744399,0.4026548672566372,2.4835164835164836,1,1,28265485,1695929100
10.10.20.147,10.10.20.20,62911,53,17,2,1,1,375,83,292,375,83,292,1695929094720913000,1695929094726072000,5159000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,187.5,0.000114548675,0,1,0.005159,187.5,72688.50552432642,0.2842465753424658,3.5180722891566263,1,1,28265484,1695929040
157.245.106.203,10.10.20.147,443,51074,6,3,2,1,162,108,54,162,108,54,1695929059826497000,1695929059826634000,137000,0,0,0,3,0,0,0,0,-,0,0,0,-,-,-,54.0,0.011722692,0,1,0.000137,54.0,1182481.7518248176,2.0,0.5,1,1,28265484,1695929040
10.10.20.147,172.86.75.88,50795,443,6,8,4,4,500,250,250,500,250,250,1695929052471284000,1695929114156253000,61684969000,0,0,0,8,0,0,4,0,-,0,0,0,-,-,-,62.5,0.029189369,0,1,61.684969,62.5,8.105702379456492,1.0,1.0,1,0,28265484,1695929040
10.10.20.20,10.10.20.147,389,51079,6,1,1,0,54,54,0,54,54,0,1695929038922691000,1695929038922691000,0,0,0,0,0,0,1,0,0,-,0,0,0,-,-,-,54.0,0.05866665,0,1,0.0,54.0,0.0,54.0,0.0,1,1,28265483,1695928980
10.10.20.147,10.10.20.20,51078,49669,6,23,13,10,6791,4402,2389,6791,4402,2389,1695929038793816000,1695929038927855000,134039000,2,1,1,22,0,1,16,0,-,0,0,0,-,-,-,295.261,0.18949212,0,1,0.134039,295.2608695652174,50664.3588806243,1.8426119715362077,0.5427078600636075,1,1,28265483,1695928980
10.10.20.147,10.10.20.20,51077,135,6,11,7,4,1758,886,872,1758,886,872,1695929038790432000,1695929038927717000,137285000,2,1,1,10,0,1,6,0,-,0,0,0,-,-,-,159.818,0.060528982,0,1,0.137285,159.8181818181818,12805.477655971155,1.0160550458715596,0.9841986455981941,1,1,28265483,1695928980
10.10.20.147,10.10.20.20,59496,389,17,2,1,1,497,263,234,497,263,234,1695929038674548000,1695929038674888000,340000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,248.5,0.0004880299,0,1,0.00034,248.5,1461764.7058823528,1.123931623931624,0.8897338403041825,1,1,28265483,1695928980
10.10.20.147,10.10.20.20,59495,53,17,2,1,1,315,125,190,315,125,190,1695929038673531000,1695929038673922000,391000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,157.5,0.0004137164,0,1,0.000391,157.5,805626.5984654732,0.6578947368421053,1.52,1,1,28265483,1695928980
10.10.20.147,10.10.20.20,52247,53,17,2,1,1,316,89,227,316,89,227,1695929034125339000,1695929034173485000,48146000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,158.0,9.46193e-05,0,1,0.048146,158.0,6563.369750342707,0.3920704845814978,2.550561797752809,1,1,28265483,1695928980
10.10.20.147,10.10.20.20,51075,445,6,25,14,11,7568,5406,2162,7568,5406,2162,1695929032101088000,1695929042926444000,10825356000,2,1,1,24,0,1,16,0,-,0,0,0,-,-,-,302.72,0.24763416,0,1,10.825356,302.72,699.099410679889,2.5004625346901017,0.39992600813910467,1,1,28265483,1695928980
10.10.20.147,23.218.224.14,51097,443,6,36,19,17,12139,3432,8707,12139,3432,8707,1695930238379063000,1695930298795183000,60416120000,2,1,1,35,0,1,15,1,0303,19,9,1,h2;http/1.1,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0010;0017;ff01,337.194,0.9989837,1,1,60.41612,337.19444444444446,200.92319731886127,0.3941656138738946,2.537004662004662,1,0,28265503,1695930180
10.10.20.147,239.255.255.250,51267,1900,17,6,6,0,1074,1074,0,1074,1074,0,1695929029673929000,1695929044719690000,15045761000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,179.0,0.0014758334,0,1,15.045761,179.0,71.38223184589998,1074.0,0.0,1,1,28265483,1695928980
